feature,importance
num__EXT_SOURCE_3,0.029936196
num__EXT_SOURCE_2,0.026068319
cat__NAME_EDUCATION_TYPE_Higher education,0.0149027845
cat__NAME_INCOME_TYPE_Pensioner,0.014211057
cat__CODE_GENDER_F,0.012578697
cat__CODE_GENDER_M,0.011893898
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.010842752
num__EXT_SOURCE_1,0.01064875
cat__FLAG_OWN_CAR_Y,0.009597101
num__CREDIT_GOODS_RATIO,0.00947266
cat__NAME_INCOME_TYPE_Working,0.007908874
num__FLAG_DOCUMENT_3,0.007884048
num__DAYS_EMPLOYED,0.0076472946
num__AGE_YEARS,0.007478897
cat__FLAG_OWN_CAR_N,0.007426631
num__DEF_60_CNT_SOCIAL_CIRCLE,0.007021673
num__REGION_RATING_CLIENT_W_CITY,0.0069814175
cat__NAME_FAMILY_STATUS_Married,0.006888063
num__AMT_GOODS_PRICE,0.006829788
cat__NAME_CONTRACT_TYPE_Cash loans,0.0063179447
cat__NAME_CONTRACT_TYPE_Revolving loans,0.0062787887
num__REG_CITY_NOT_LIVE_CITY,0.006156446
num__DEF_30_CNT_SOCIAL_CIRCLE,0.0059204013
cat__ORGANIZATION_TYPE_Transport: type 3,0.005734698
num__OWN_CAR_AGE,0.0056465203
cat__NAME_INCOME_TYPE_State servant,0.005540756
num__AMT_ANNUITY,0.0054681716
num__AMT_REQ_CREDIT_BUREAU_QRT,0.005454838
num__FLAG_DOCUMENT_16,0.005450157
num__FLAG_WORK_PHONE,0.005425603
cat__OCCUPATION_TYPE_Core staff,0.0053625433
num__DAYS_BIRTH,0.005326772
cat__ORGANIZATION_TYPE_Construction,0.0052741757
cat__ORGANIZATION_TYPE_Self-employed,0.0052141943
num__FLAG_DOCUMENT_13,0.0051793596
num__FLOORSMAX_MEDI,0.00513852
cat__ORGANIZATION_TYPE_Industry: type 9,0.005111025
num__AMT_CREDIT,0.005049681
num__REGION_RATING_CLIENT,0.004918714
num__FLAG_DOCUMENT_18,0.0048184395
cat__ORGANIZATION_TYPE_Trade: type 2,0.004804823
cat__OCCUPATION_TYPE_Drivers,0.00477629
cat__ORGANIZATION_TYPE_Military,0.0047662123
cat__ORGANIZATION_TYPE_School,0.004714602
cat__OCCUPATION_TYPE_Accountants,0.004667248
num__FLOORSMAX_AVG,0.004659363
cat__ORGANIZATION_TYPE_Industry: type 2,0.0045876643
num__DAYS_ID_PUBLISH,0.004583757
num__ANNUITY_INCOME_RATIO,0.0045470577
num__LIVINGAREA_MEDI,0.004519113
num__ELEVATORS_AVG,0.0044883727
cat__ORGANIZATION_TYPE_Industry: type 12,0.0044512157
num__ENTRANCES_MEDI,0.0044060946
cat__ORGANIZATION_TYPE_Trade: type 6,0.0043842946
num__DAYS_EMPLOYED_ANOM,0.004384018
cat__NAME_HOUSING_TYPE_House / apartment,0.004372873
cat__OCCUPATION_TYPE_Sales staff,0.0043509607
num__YEARS_BEGINEXPLUATATION_MEDI,0.0043084263
num__DAYS_LAST_PHONE_CHANGE,0.0042713024
num__FLOORSMIN_MEDI,0.004254255
num__APARTMENTS_MODE,0.0042516915
"cat__WALLSMATERIAL_MODE_Stone, brick",0.0042430847
num__YEARS_BUILD_MEDI,0.0042233453
cat__ORGANIZATION_TYPE_Realtor,0.0042225616
num__ELEVATORS_MODE,0.0042201537
num__COMMONAREA_MEDI,0.0042043435
num__FLAG_EMP_PHONE,0.004202255
num__APARTMENTS_MEDI,0.0042022034
num__FLAG_DOCUMENT_11,0.0041964184
cat__ORGANIZATION_TYPE_Security Ministries,0.0041799373
num__ELEVATORS_MEDI,0.004167364
num__FLOORSMAX_MODE,0.0041586324
num__FLAG_DOCUMENT_14,0.004154151
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.004144497
num__LIVINGAPARTMENTS_MEDI,0.004142135
num__CREDIT_INCOME_RATIO,0.0041417894
cat__OCCUPATION_TYPE_Medicine staff,0.0041053654
num__FLOORSMIN_MODE,0.0041002445
num__LANDAREA_MEDI,0.004098304
cat__WALLSMATERIAL_MODE_Monolithic,0.004090795
num__YEARS_BEGINEXPLUATATION_MODE,0.0040536886
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.0040417574
num__NONLIVINGAPARTMENTS_MEDI,0.0040280633
num__LIVINGAPARTMENTS_MODE,0.0040201093
num__YEARS_BUILD_MODE,0.003999697
num__BASEMENTAREA_MEDI,0.003974001
num__LIVINGAREA_MODE,0.0039733336
num__TOTALAREA_MODE,0.0039571417
num__BASEMENTAREA_MODE,0.003937141
num__NONLIVINGAPARTMENTS_MODE,0.003925602
cat__ORGANIZATION_TYPE_Culture,0.0039124023
num__OBS_60_CNT_SOCIAL_CIRCLE,0.0039031703
cat__ORGANIZATION_TYPE_Restaurant,0.0038975978
num__NONLIVINGAREA_MODE,0.0038969826
num__NONLIVINGAREA_MEDI,0.0038883484
cat__NAME_HOUSING_TYPE_Co-op apartment,0.0038746123
cat__ORGANIZATION_TYPE_Insurance,0.0038703522
num__AMT_REQ_CREDIT_BUREAU_MON,0.0038568883
num__COMMONAREA_MODE,0.0038336283
cat__OCCUPATION_TYPE_Secretaries,0.0037986503
num__ENTRANCES_MODE,0.0037952585
num__APARTMENTS_AVG,0.00379094
num__FLAG_DOCUMENT_15,0.003789013
cat__ORGANIZATION_TYPE_Medicine,0.0037800192
cat__NAME_EDUCATION_TYPE_Academic degree,0.0037799687
num__CNT_FAM_MEMBERS,0.0037774588
num__LANDAREA_MODE,0.0037740765
num__LANDAREA_AVG,0.003754125
cat__NAME_FAMILY_STATUS_Separated,0.0037346487
num__LIVINGAPARTMENTS_AVG,0.0037267637
cat__ORGANIZATION_TYPE_Other,0.0037252174
num__REGION_POPULATION_RELATIVE,0.0037229368
num__DAYS_REGISTRATION,0.0037068168
num__AMT_REQ_CREDIT_BUREAU_DAY,0.0037063507
cat__NAME_FAMILY_STATUS_Widow,0.0037010305
num__FLOORSMIN_AVG,0.0036926935
cat__NAME_FAMILY_STATUS_Single / not married,0.0036914244
num__LIVINGAREA_AVG,0.0036904707
cat__ORGANIZATION_TYPE_Kindergarten,0.0036893906
cat__OCCUPATION_TYPE_Low-skill Laborers,0.003659354
num__NONLIVINGAREA_AVG,0.003650684
cat__WALLSMATERIAL_MODE_Block,0.0036433795
num__COMMONAREA_AVG,0.0036401208
cat__ORGANIZATION_TYPE_Services,0.0036359332
cat__ORGANIZATION_TYPE_Police,0.0036140247
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0036097087
cat__ORGANIZATION_TYPE_Bank,0.0035961193
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.003586747
cat__FONDKAPREMONT_MODE_reg oper spec account,0.003577829
cat__OCCUPATION_TYPE_High skill tech staff,0.0035512336
num__NONLIVINGAPARTMENTS_AVG,0.003550638
cat__NAME_TYPE_SUITE_Family,0.003543545
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0035297482
num__FLAG_DOCUMENT_5,0.0035147918
cat__WALLSMATERIAL_MODE_Panel,0.003513674
cat__NAME_INCOME_TYPE_Unemployed,0.0034883935
cat__NAME_TYPE_SUITE_Children,0.0034813252
num__YEARS_BUILD_AVG,0.0034801841
cat__ORGANIZATION_TYPE_Hotel,0.0034775978
num__BASEMENTAREA_AVG,0.003458468
cat__FONDKAPREMONT_MODE_not specified,0.0034319425
num__YEARS_BEGINEXPLUATATION_AVG,0.003430179
num__FLAG_DOCUMENT_2,0.003421554
cat__FONDKAPREMONT_MODE_reg oper account,0.0034192929
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0034127692
num__ENTRANCES_AVG,0.0034102614
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0034053796
num__AMT_INCOME_TOTAL,0.0034036972
cat__OCCUPATION_TYPE_Managers,0.0034027458
num__HOUR_APPR_PROCESS_START,0.0033840917
num__OBS_30_CNT_SOCIAL_CIRCLE,0.0033750723
num__FLAG_DOCUMENT_8,0.003363029
cat__FLAG_OWN_REALTY_Y,0.0033562258
cat__ORGANIZATION_TYPE_Electricity,0.0033528372
cat__ORGANIZATION_TYPE_Transport: type 1,0.003336103
num__REG_CITY_NOT_WORK_CITY,0.0033315944
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0033291185
cat__FONDKAPREMONT_MODE_org spec account,0.0033123274
cat__OCCUPATION_TYPE_Security staff,0.0032971757
cat__NAME_INCOME_TYPE_Commercial associate,0.0032963047
cat__HOUSETYPE_MODE_block of flats,0.0032884502
cat__NAME_HOUSING_TYPE_Office apartment,0.0032861857
num__FLAG_PHONE,0.0032739425
cat__ORGANIZATION_TYPE_Transport: type 4,0.0032557156
cat__NAME_HOUSING_TYPE_Municipal apartment,0.0032548404
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0032526292
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.003238874
num__FLAG_DOCUMENT_6,0.0032250567
cat__ORGANIZATION_TYPE_Postal,0.0032160357
cat__ORGANIZATION_TYPE_Legal Services,0.0032009948
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0031970353
cat__FLAG_OWN_REALTY_N,0.0031883868
cat__NAME_HOUSING_TYPE_With parents,0.0031871067
num__REG_REGION_NOT_WORK_REGION,0.0031681305
cat__NAME_HOUSING_TYPE_Rented apartment,0.0031585286
num__LIVE_REGION_NOT_WORK_REGION,0.0031514994
cat__NAME_FAMILY_STATUS_Civil marriage,0.0031487949
cat__NAME_TYPE_SUITE_Unaccompanied,0.0031436456
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.0031315526
cat__OCCUPATION_TYPE_Cleaning staff,0.0031156926
cat__ORGANIZATION_TYPE_Housing,0.0030974532
num__FLAG_EMAIL,0.0030559984
cat__OCCUPATION_TYPE_Private service staff,0.0030466907
cat__ORGANIZATION_TYPE_Government,0.0030437117
cat__ORGANIZATION_TYPE_Industry: type 10,0.0030357863
cat__OCCUPATION_TYPE_Laborers,0.003030723
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0030228237
cat__HOUSETYPE_MODE_terraced house,0.00298452
cat__WALLSMATERIAL_MODE_Others,0.0029790134
num__LIVE_CITY_NOT_WORK_CITY,0.0029668428
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0029663288
cat__ORGANIZATION_TYPE_Industry: type 7,0.002965453
cat__ORGANIZATION_TYPE_Telecom,0.002961786
cat__EMERGENCYSTATE_MODE_No,0.002943539
cat__ORGANIZATION_TYPE_University,0.0029270914
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.0029092696
cat__ORGANIZATION_TYPE_Industry: type 11,0.0028520033
cat__ORGANIZATION_TYPE_Security,0.0028439537
cat__ORGANIZATION_TYPE_Agriculture,0.0028222199
cat__ORGANIZATION_TYPE_Advertising,0.0028177155
cat__ORGANIZATION_TYPE_Trade: type 3,0.0028103422
cat__NAME_TYPE_SUITE_Other_A,0.002798829
cat__ORGANIZATION_TYPE_Emergency,0.0027615123
cat__ORGANIZATION_TYPE_Mobile,0.0027561358
cat__ORGANIZATION_TYPE_Trade: type 1,0.00273254
num__REG_REGION_NOT_LIVE_REGION,0.002715731
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0027028963
cat__OCCUPATION_TYPE_Cooking staff,0.002671075
cat__ORGANIZATION_TYPE_Trade: type 7,0.0026466453
cat__HOUSETYPE_MODE_specific housing,0.0026140432
cat__ORGANIZATION_TYPE_Industry: type 5,0.0025961217
cat__OCCUPATION_TYPE_HR staff,0.0025845042
cat__EMERGENCYSTATE_MODE_Yes,0.002579117
cat__ORGANIZATION_TYPE_Transport: type 2,0.0025370426
cat__ORGANIZATION_TYPE_Industry: type 4,0.0025013138
cat__ORGANIZATION_TYPE_Industry: type 1,0.0024876103
cat__ORGANIZATION_TYPE_Industry: type 8,0.002480784
cat__OCCUPATION_TYPE_Realty agents,0.0024660525
cat__NAME_TYPE_SUITE_Other_B,0.0024652674
num__FLAG_DOCUMENT_9,0.0024528466
cat__OCCUPATION_TYPE_IT staff,0.0024457967
num__CNT_CHILDREN,0.002409407
cat__WALLSMATERIAL_MODE_Mixed,0.0023662027
num__FLAG_DOCUMENT_17,0.0023329474
num__FLAG_CONT_MOBILE,0.002330648
num__AMT_REQ_CREDIT_BUREAU_HOUR,0.0023068276
cat__ORGANIZATION_TYPE_Industry: type 3,0.0022740422
cat__WALLSMATERIAL_MODE_Wooden,0.002266092
num__FLAG_DOCUMENT_21,0.0020589223
cat__ORGANIZATION_TYPE_Religion,0.0020039491
cat__ORGANIZATION_TYPE_Cleaning,0.0018256544
num__FLAG_DOCUMENT_20,0.0016059555
cat__ORGANIZATION_TYPE_Trade: type 5,0.0013562927
cat__NAME_TYPE_SUITE_Group of people,0.0
cat__CODE_GENDER_XNA,0.0
num__FLAG_DOCUMENT_19,0.0
num__FLAG_DOCUMENT_12,0.0
num__FLAG_DOCUMENT_4,0.0
num__FLAG_DOCUMENT_7,0.0
num__FLAG_DOCUMENT_10,0.0
num__FLAG_MOBIL,0.0
cat__NAME_INCOME_TYPE_Student,0.0
cat__NAME_INCOME_TYPE_Maternity leave,0.0
cat__NAME_INCOME_TYPE_Businessman,0.0
cat__NAME_FAMILY_STATUS_Unknown,0.0
cat__ORGANIZATION_TYPE_Industry: type 13,0.0
cat__ORGANIZATION_TYPE_Industry: type 6,0.0
cat__ORGANIZATION_TYPE_XNA,0.0
cat__ORGANIZATION_TYPE_Trade: type 4,0.0
